climate_zone,month,gains_internal[W]
cold,1,135.4014990292712
hot dry,1,140.90697004608296
hot humid,1,146.39976958525344
marine,1,113.16112231182795
mixed dry,1,124.15378584229391
very cold,1,143.80497685185185
hot humid,2,145.19637542517006
hot dry,2,137.99027423469386
marine,2,111.36532738095238
cold,2,136.62775917658732
very cold,2,142.91697668650792
mixed dry,2,124.56542107583773
hot humid,3,141.0923099078341
marine,3,108.49126344086022
cold,3,126.72985737753882
hot dry,3,133.37855222734254
mixed dry,3,118.88515531660694
very cold,3,132.7799245818399
hot dry,4,129.47832341269842
hot humid,4,140.15625
marine,4,107.80729166666667
mixed dry,4,116.45081018518519
very cold,4,130.0313464506173
cold,4,124.81404320987654
cold,5,118.18198364695341
hot dry,5,126.1290802611367
mixed dry,5,113.8778126244524
marine,5,104.99495967741936
hot humid,5,140.8551747311828
very cold,5,125.09053912783753
hot humid,6,137.35119047619048
hot dry,6,120.5891865079365
mixed dry,6,109.83461934156378
marine,6,103.00520833333333
very cold,6,114.0396412037037
cold,6,112.41589506172839
hot dry,7,118.69426843317973
hot humid,7,132.67713133640555
mixed dry,7,109.65756919553962
marine,7,100.17977150537634
cold,7,113.67052158004779
very cold,7,112.31453479689367
hot humid,8,136.55865975422427
mixed dry,8,110.77390730784548
very cold,8,120.05731033452808
hot dry,8,121.27155337941629
cold,8,117.30650761648745
marine,8,103.88860887096774
hot humid,9,135.97767857142858
marine,9,104.52951388888889
cold,9,119.74720293209877
very cold,9,127.89978780864197
mixed dry,9,112.30889917695474
hot dry,9,125.30620039682539
marine,10,109.80090725806453
mixed dry,10,116.77867383512546
hot dry,10,130.17847542242706
cold,10,124.47837328255676
very cold,10,129.77066532258064
hot humid,10,137.76929723502303
mixed dry,11,118.8573816872428
marine,11,109.45833333333333
cold,11,127.31360918209877
hot dry,11,133.5730654761905
very cold,11,134.1352237654321
hot humid,11,140.72693452380955
mixed dry,12,123.63282805655118
hot dry,12,139.00676843317973
cold,12,131.55498618578255
marine,12,110.26545698924731
hot humid,12,146.1563940092166
very cold,12,140.70471176821982
